09-02-2024 14:46:30 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 14:46:30] "[31m[1mDELETE /users/652fa04a-59db-49f3-8bb6-54a85cdf6331 HTTP/1.1[0m" 403 -
09-02-2024 14:47:26 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 14:47:26] "[35m[1mPOST /auth/sign_up HTTP/1.1[0m" 201 -
09-02-2024 14:54:23 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 14:54:23] "[35m[1mPOST /auth/sign_up HTTP/1.1[0m" 201 -
09-02-2024 15:01:54 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:01:54] "[31m[1mPOST /auth/sign_in HTTP/1.1[0m" 422 -
09-02-2024 15:02:06 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:02:06] "[35m[1mPOST /auth/sign_up HTTP/1.1[0m" 201 -
09-02-2024 15:02:08 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:02:08] "[31m[1mPOST /auth/sign_in HTTP/1.1[0m" 422 -
09-02-2024 15:02:17 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:02:17] "[31m[1mPOST /auth/sign_in HTTP/1.1[0m" 422 -
09-02-2024 15:03:19 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:03:19] "[35m[1mPOST /auth/sign_up HTTP/1.1[0m" 201 -
09-02-2024 15:03:20 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:03:20] "[31m[1mPOST /auth/sign_in HTTP/1.1[0m" 422 -
09-02-2024 15:03:34 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:03:34] "[35m[1mPOST /auth/sign_up HTTP/1.1[0m" 201 -
09-02-2024 15:03:39 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:03:39] "[31m[1mPOST /auth/sign_in HTTP/1.1[0m" 422 -
09-02-2024 15:04:06 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:04:06] "[35m[1mPOST /auth/sign_up HTTP/1.1[0m" 201 -
09-02-2024 15:04:08 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:04:08] "POST /auth/sign_in HTTP/1.1" 200 -
09-02-2024 15:23:47 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:23:47] "[35m[1mPOST /auth/sign_up HTTP/1.1[0m" 201 -
09-02-2024 15:41:56 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:41:56] "POST /auth/sign_in HTTP/1.1" 200 -
09-02-2024 15:41:56 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:41:56] "POST /auth/refresh HTTP/1.1" 200 -
09-02-2024 15:41:57 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:41:57] "[35m[1mPOST /quizzes HTTP/1.1[0m" 201 -
09-02-2024 15:41:57 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:41:57] "GET /quizzes HTTP/1.1" 200 -
09-02-2024 15:41:57 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:41:57] "[35m[1mPOST /quizzes/b2a005a7-14b4-4462-b234-f67309c8fc25/questions HTTP/1.1[0m" 201 -
09-02-2024 15:41:57 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:41:57] "GET /quizzes/b2a005a7-14b4-4462-b234-f67309c8fc25/questions HTTP/1.1" 200 -
09-02-2024 15:41:57 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:41:57] "[35m[1mPOST /questions/d27b31f7-4a8b-45ad-bb8f-303be29fda9e/options HTTP/1.1[0m" 201 -
09-02-2024 15:41:57 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:41:57] "GET /questions/d27b31f7-4a8b-45ad-bb8f-303be29fda9e HTTP/1.1" 200 -
09-02-2024 15:41:57 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:41:57] "GET /quizzes/b2a005a7-14b4-4462-b234-f67309c8fc25 HTTP/1.1" 200 -
09-02-2024 15:41:57 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:41:57] "PUT /options/050a3748-a0c7-49f5-85e5-b63f53f8c5fe HTTP/1.1" 200 -
09-02-2024 15:41:58 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:41:58] "DELETE /options/050a3748-a0c7-49f5-85e5-b63f53f8c5fe HTTP/1.1" 200 -
09-02-2024 15:41:58 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:41:58] "PUT /questions/d27b31f7-4a8b-45ad-bb8f-303be29fda9e HTTP/1.1" 200 -
09-02-2024 15:41:58 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:41:58] "DELETE /questions/d27b31f7-4a8b-45ad-bb8f-303be29fda9e HTTP/1.1" 200 -
09-02-2024 15:41:58 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:41:58] "DELETE /quizzes/b2a005a7-14b4-4462-b234-f67309c8fc25 HTTP/1.1" 200 -
09-02-2024 15:41:58 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:41:58] "GET /tags HTTP/1.1" 200 -
09-02-2024 15:41:58 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:41:58] "GET /records?user_id=1 HTTP/1.1" 200 -
09-02-2024 15:41:58 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:41:58] "[31m[1mPOST /tags HTTP/1.1[0m" 403 -
09-02-2024 15:41:58 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:41:58] "[31m[1mDELETE /users/652fa04a-59db-49f3-8bb6-54a85cdf6331 HTTP/1.1[0m" 403 -
09-02-2024 15:41:58 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 15:41:58] "[31m[1mPOST /records HTTP/1.1[0m" 403 -
09-02-2024 16:16:18 INFO       [config.py:15] setting up configs
09-02-2024 16:16:18 INFO       [config.py:37] setting up config completed
09-02-2024 16:16:18 INFO       [exceptions.py:126] registering error handlers
09-02-2024 16:16:18 INFO       [exceptions.py:132] registering error handlers completed
09-02-2024 16:16:18 INFO       [__init__.py:25] registering blueprints
09-02-2024 16:16:18 INFO       [__init__.py:34] registering blueprints completed
09-02-2024 16:16:18 INFO       [jwt.py:9] registering jwt system
09-02-2024 16:16:18 INFO       [jwt.py:14] registering jwt system completed
09-02-2024 16:16:18 INFO       [_internal.py:96] [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
09-02-2024 16:16:18 INFO       [_internal.py:96] [33mPress CTRL+C to quit[0m
09-02-2024 16:16:18 INFO       [_internal.py:96]  * Restarting with stat
09-02-2024 16:16:18 INFO       [config.py:15] setting up configs
09-02-2024 16:16:18 INFO       [config.py:37] setting up config completed
09-02-2024 16:16:18 INFO       [exceptions.py:126] registering error handlers
09-02-2024 16:16:18 INFO       [exceptions.py:132] registering error handlers completed
09-02-2024 16:16:18 INFO       [__init__.py:25] registering blueprints
09-02-2024 16:16:18 INFO       [__init__.py:34] registering blueprints completed
09-02-2024 16:16:18 INFO       [jwt.py:9] registering jwt system
09-02-2024 16:16:18 INFO       [jwt.py:14] registering jwt system completed
09-02-2024 16:16:18 WARNING    [_internal.py:96]  * Debugger is active!
09-02-2024 16:16:18 INFO       [_internal.py:96]  * Debugger PIN: 482-885-147
09-02-2024 16:38:14 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 16:38:14] "POST /auth/sign_in HTTP/1.1" 200 -
09-02-2024 16:38:14 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 16:38:14] "POST /auth/refresh HTTP/1.1" 200 -
09-02-2024 16:38:14 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 16:38:14] "[35m[1mPOST /quizzes HTTP/1.1[0m" 201 -
09-02-2024 16:38:14 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 16:38:14] "GET /quizzes HTTP/1.1" 200 -
09-02-2024 16:38:15 INFO       [_internal.py:96] 127.0.0.1 - - [09/Feb/2024 16:38:15] "[35m[1mPOST /quizzes/c1c27e73-e71c-477e-850c-71761a681e07/questions HTTP/1.1[0m" 201 -
